이산화탄소 (CO2),메탄 (CH4),아산화질소(N2O),sum,2019_mm
11234,63,74,11371,0.637478108581436
6323,22,56,6401,0.347343841214244
4359,15,31,4405,0.2308231173380035
5618,16,36,5670,0.3046701692936369
2677,8,20,2705,0.1315820198482195
2423,8,17,2448,0.11657910099241098
1789,6,13,1808,0.07921774664331582
448,0,3,451,0.0
17432,44,105,17581,1.0
2198,2,13,2213,0.1028604786923526
2741,4,18,2763,0.13496789258610625
3450,3,22,3475,0.17653239929947462
2989,4,20,3013,0.14956217162872154
3868,5,27,3900,0.2013426736719206
4405,5,30,4440,0.23286631640396963
5472,8,37,5517,0.2957384705195563
2104,1,11,2116,0.09719789842381785
