이산화탄소 (CO2),메탄 (CH4),아산화질소(N2O),sum
11234,63,74,11371
6323,22,56,6401
4359,15,31,4405
5618,16,36,5670
2677,8,20,2705
2423,8,17,2448
1789,6,13,1808
448,0,3,451
17432,44,105,17581
2198,2,13,2213
2741,4,18,2763
3450,3,22,3475
2989,4,20,3013
3868,5,27,3900
4405,5,30,4440
5472,8,37,5517
2104,1,11,2116
