이산화탄소 (CO2),메탄 (CH4),아산화질소(N2O),sum
10796,43,72,10911
6199,13,53,6265
4252,9,30,4291
5510,9,35,5554
2638,5,19,2662
2364,6,17,2387
1765,3,12,1780
458,0,2,460
17869,19,108,17996
2179,1,13,2193
2735,2,18,2755
3424,2,22,3448
2935,3,19,2957
3903,4,27,3934
4363,3,29,4395
5504,5,36,5545
2015,0,11,2026
