,lat,long
0,35.8400384,128.530592
1,35.8532393,128.4917736
2,35.8109973,128.5403241
4,35.8571675,128.5140209
5,35.8360755,128.5330472
10,35.8570898,128.4992795
13,35.850088,128.5344181
14,35.8472127,128.542333
17,35.8509155,128.5732908
28,35.8551308,128.4963268
34,35.8448927,128.523808
41,35.8292088,128.5473659
53,35.8577765,128.5088545
63,35.8548572,128.4984809
68,35.8493407,128.5697919
70,35.8561183,128.5536455
77,35.8237141,128.5456175
79,35.8524434,128.5455013
83,35.8452707,128.5446009
86,35.8155859,128.5466702
87,35.8127727,128.527736
90,35.8338536,128.5487363
97,35.8381849,128.535924
99,35.8125641,128.5443512
100,35.8543651,128.5344871
103,35.8566588,128.5545841
109,35.8105256,128.546352
112,35.8222111,128.5306553
113,35.8476445,128.5325892
120,35.8180763,128.534654
122,35.8582176,128.5128353
124,35.8271761,128.5310449
147,35.8382081,128.557022
149,35.8548031,128.4984799
150,35.8595493,128.564905
155,35.8308326,128.5312623
156,35.8159467,128.523158
157,35.8616531,128.5723759
160,35.8556632,128.5524269
166,35.8520678,128.5075549
168,35.8502522,128.5200216
169,35.8535702,128.4984667
170,35.8265909,128.5480629
172,35.8589696,128.521161
173,35.8368391,128.5368627
178,35.859711,128.4962288
184,35.8515574,128.4815957
185,35.8398526,128.5542393
188,35.8103681,128.5156021
190,35.8197774,128.5343733
194,35.8425482,128.5340584
195,35.8389861,128.5158696
196,35.8335413,128.5544218
197,35.8028094,128.5508629
198,35.8449704,128.5369411
199,35.8552044,128.5545505
202,35.8588357,128.532971
203,35.811009,128.526595
210,35.8558422,128.5534679
216,35.8375391,128.5339526
219,35.8288022,128.5498217
220,35.8116168,128.5355293
230,35.8533481,128.5489123
231,35.8225694,128.5276145
232,35.858839,128.5211141
239,35.8370183,128.5526781
241,35.8473479,128.5261093
244,35.8572235,128.5151295
245,35.8554488,128.5022905
246,35.830454,128.5555196
248,35.8140114,128.5148494
252,35.8375045,128.5429993
253,35.8076644,128.5241265
256,35.8296755,128.5506047
259,35.8549145,128.550031
261,35.8338057,128.5513795
266,35.8491023,128.5307402
267,35.8354478,128.5321574
271,35.8415935,128.5526646
288,35.8276728,128.5490444
298,35.854888,128.4984739
305,35.837049,128.5369088
308,35.8434601,128.5528915
310,35.8589194,128.5211325
316,35.845398,128.5449866
321,35.8544742,128.5522528
327,35.8418846,128.5366656
329,35.8364275,128.5382449
331,35.8395832,128.5439774
333,35.8446114,128.5275107
335,35.8069555,128.5192761
344,35.8177487,128.5397803
353,35.8536296,128.5553683
357,35.8330342,128.5159211
361,35.8556258,128.4957626
363,35.8544698,128.5562509
368,35.855432,128.49712
372,35.8563022,128.5741166
375,35.8543245,128.5703407
376,35.8507501,128.5585228
378,35.8357253,128.490393
382,35.8541825,128.4922331
387,35.853784,128.5457637
392,35.8589273,128.5622675
393,35.8404453,128.5378835
398,35.8554066,128.5051896
399,35.830467,128.549773
406,35.819956,128.5300785
412,35.8596544,128.5002498
417,35.8392577,128.5333339
418,35.839845,128.5329773
420,35.8139336,128.5336642
421,35.8197783,128.5305251
430,35.8530283,128.5049715
433,35.841602,128.5561491
435,35.813502,128.5401232
442,35.8435733,128.5317812
449,35.8221404,128.5307056
453,35.8537077,128.5186569
457,35.8329215,128.5159328
460,35.8354785,128.5307208
470,35.8535162,128.549793
471,35.8125971,128.5261705
473,35.8593485,128.5203649
476,35.8265475,128.5537026
477,35.8520034,128.5000963
485,35.8250592,128.524115
488,35.854856,128.4933608
497,35.8148437,128.522277
506,35.8412866,128.530703
509,35.8396708,128.5564239
510,35.8586272,128.4918899
512,35.8224654,128.5487559
522,35.8484026,128.5412334
530,35.8555334,128.5257856
539,35.8456543,128.534605
545,35.8424066,128.4999142
546,35.8155076,128.5338507
548,35.8472296,128.5373512
549,35.8149508,128.5438277
551,35.8452223,128.5468619
552,35.8156319,128.5467093
554,35.8559075,128.5252776
555,35.8423648,128.5479787
558,35.8587534,128.5211363
559,35.8179148,128.5163434
569,35.8152945,128.5283373
571,35.8221573,128.520675
576,35.8549171,128.4977048
580,35.8130493,128.5339681
582,35.8079907,128.5162121
583,35.8459608,128.5445179
591,35.8406974,128.5392944
596,35.8074229,128.5204455
602,35.8530543,128.4744761
603,35.8113964,128.5217564
607,35.821615,128.551396
617,35.8339805,128.5461439
620,35.813215,128.5252603
621,35.8202871,128.5513719
626,35.850234,128.5306582
635,35.8080896,128.5241465
637,35.850012,128.537904
643,35.8176705,128.5058698
651,35.8554706,128.5027948
653,35.833748,128.5532902
657,35.8639037,128.4902617
659,35.857341,128.5128187
676,35.833206,128.5159427
678,35.830555,128.5494909
679,35.8499586,128.5345272
680,35.8497742,128.5343982
684,35.8153305,128.52946
689,35.8118609,128.5253874
690,35.8553006,128.5099413
691,35.8554093,128.5086794
693,35.822943,128.52702
697,35.8543973,128.4940253
699,35.8572664,128.5101441
701,35.8419944,128.5360644
702,35.80565,128.5360108
711,35.8500894,128.5282605
720,35.8169792,128.5464535
721,35.8523957,128.5428492
723,35.8340452,128.54129
725,35.836941,128.5539164
735,35.8540845,128.5312974
738,35.8446159,128.5339456
741,35.8586709,128.5392203
754,35.8078312,128.5359586
755,35.8155687,128.5338474
760,35.8531598,128.5078969
763,35.8155235,128.5316481
765,35.8164546,128.5229323
769,35.8280995,128.5491101
772,35.8551153,128.5687336
777,35.8313493,128.5295601
779,35.8273543,128.5516994
782,35.8546296,128.5125795
788,35.8523081,128.5449379
789,35.8589124,128.5253369
792,35.8135792,128.521545
795,35.8313951,128.5338996
796,35.8542091,128.5517478
797,35.8417547,128.5372192
798,35.8186602,128.5401395
811,35.8374494,128.5340452
812,35.8471373,128.5668811
814,35.8242896,128.5252389
815,35.8125175,128.5232693
818,35.8122216,128.5369617
822,35.8242703,128.5253237
824,35.820953,128.5467169
826,35.8500513,128.5305276
827,35.8416381,128.5528701
828,35.844423,128.5158051
832,35.8088842,128.5515544
833,35.8237528,128.5339823
834,35.813213,128.5282529
835,35.8254922,128.5223224
837,35.8515833,128.5587482
839,35.8436013,128.5367463
844,35.8357821,128.5446869
846,35.8284727,128.5197218
850,35.855316,128.512565
854,35.8158897,128.5310867
860,35.8551996,128.552899
863,35.8140101,128.5241209
865,35.8531477,128.5154503
866,35.8084201,128.5516308
869,35.8171436,128.5325406
870,35.8264396,128.5454815
873,35.7989203,128.5308165
879,35.854725,128.5419565
884,35.8147384,128.5267252
889,35.8552592,128.5180004
891,35.8421006,128.5305408
895,35.8061678,128.5118593
901,35.8437607,128.5325261
903,35.8062357,128.5487719
905,35.8061805,128.5173593
906,35.8193266,128.5214506
907,35.8536617,128.5439457
911,35.8483331,128.5277939
913,35.8041764,128.5352639
915,35.8494185,128.5369871
920,35.8133791,128.5205157
923,35.8494558,128.5706831
925,35.8252648,128.5208695
926,35.8516861,128.5076715
929,35.8542841,128.5074517
932,35.8592957,128.5621485
934,35.8435904,128.53961
936,35.8161916,128.5426327
941,35.8561707,128.5699009
942,35.837805,128.5447554
943,35.8148293,128.5384238
958,35.8093058,128.5125155
966,35.8518146,128.5052455
967,35.8153242,128.5201669
968,35.8597047,128.4968214
978,35.8267266,128.5439627
983,35.8440342,128.5414859
988,35.8179923,128.53852
991,35.825706,128.5467313
995,35.8499209,128.5336207
997,35.8345739,128.5554848
1008,35.8541036,128.5540346
1016,35.8507386,128.5591414
1017,35.8170867,128.5383534
1020,35.8270473,128.5312517
1022,35.8530966,128.4989014
1023,35.8182917,128.5382529
1024,35.8206033,128.5169523
1027,35.8590155,128.5694205
1028,35.8205589,128.5319597
1032,35.8189763,128.533671
1034,35.8399919,128.5306596
1037,35.8512802,128.5094503
1039,35.845092,128.5307648
1040,35.8373048,128.5488138
1044,35.8160199,128.5400147
1047,35.8146553,128.5265688
1062,35.8177814,128.5381717
1066,35.8554493,128.5059719
1078,35.846368,128.5359932
1079,35.8453174,128.4929543
1081,35.8588372,128.5288127
1088,35.8519426,128.5437057
1090,35.8119341,128.5176494
1102,35.8529255,128.5049404
1105,35.831522,128.5338898
1110,35.8524485,128.5428814
1114,35.8541013,128.5075805
1116,35.8515181,128.5411705
1118,35.8273216,128.5578762
1134,35.8518823,128.4847226
1136,35.8506381,128.5143771
1137,35.8179703,128.5193462
1140,35.8313855,128.5322482
1141,35.813028,128.5261526
1142,35.8078847,128.5357758
1152,35.839484,128.5305103
1153,35.8556398,128.4942309
1171,35.833786,128.5513711
1177,35.8592281,128.492225
1178,35.85567,128.5533432
1180,35.8362165,128.4881404
1192,35.8505348,128.5297159
1193,35.8247003,128.5461283
1205,35.850714,128.5163962
1208,35.8078756,128.5358222
1212,35.8390261,128.551682
1215,35.8372082,128.549008
1216,35.8530482,128.5513917
1218,35.8569383,128.5305776
1228,35.8435266,128.5294063
1233,35.8529116,128.4750458
1237,35.8206227,128.5464183
1239,35.8511115,128.5590335
1245,35.8536518,128.5371534
1246,35.8182618,128.5367027
1247,35.8495477,128.5367693
1248,35.8132429,128.5388028
1250,35.8504467,128.5169408
1258,35.8121805,128.5262053
1261,35.823157,128.5285653
1265,35.8578981,128.5289065
1267,35.8139278,128.5226542
1268,35.8541598,128.4979511
1269,35.8338596,128.550106
1274,35.8128429,128.5181206
1277,35.8180401,128.5388936
1278,35.8554777,128.4975993
1285,35.8512439,128.5480225
1291,35.8376142,128.5556004
1294,35.815485,128.5289118
1296,35.8276031,128.5443574
1299,35.8137407,128.509611
1300,35.8089925,128.5544968
1313,35.8587748,128.5213632
1323,35.8552886,128.512588
1324,35.8527575,128.5614741
1334,35.8113118,128.5217799
1338,35.8539336,128.54571
1340,35.8173121,128.5374206
1341,35.8557804,128.553367
1345,35.8317467,128.5331767
1346,35.8350675,128.5507646
1347,35.8313721,128.5338267
1351,35.8231931,128.529721
1355,35.8410584,128.5379327
1356,35.8276007,128.5440582
1359,35.8514917,128.5365384
1361,35.8218997,128.5232138
1362,35.8094378,128.5492168
1367,35.8239374,128.5231635
1370,35.8097394,128.5250114
1372,35.8222644,128.5270917
1377,35.8313967,128.5312146
1382,35.8339441,128.5465027
1386,35.8137973,128.5221185
1390,35.8307094,128.548222
1391,35.854259,128.5539768
1395,35.8573574,128.5058051
1404,35.8565412,128.5542555
1410,35.8576091,128.5287773
1414,35.8261696,128.5297572
1422,35.8550006,128.5528335
1424,35.815174,128.5236125
1427,35.8312607,128.5545834
1428,35.8064213,128.5204365
1430,35.8123459,128.5225203
1433,35.8332651,128.5472738
1437,35.8436049,128.5265278
1438,35.8547027,128.4933658
1442,35.8536418,128.5457649
1445,35.8395191,128.5466977
1453,35.8173827,128.5384497
1460,35.8417328,128.530126
1480,35.8564599,128.5309658
1486,35.8246294,128.5484948
1490,35.8434058,128.5528659
1494,35.8080635,128.5429787
1496,35.8189888,128.5312847
1501,35.8144314,128.5205949
1504,35.8472431,128.5073201
1526,35.8216364,128.5286841
1530,35.8105121,128.5464102
1534,35.8284111,128.5485557
1535,35.849586,128.5469735
1539,35.8273307,128.5312437
1544,35.8434886,128.5322259
1548,35.8536388,128.4970746
1553,35.8556206,128.4940005
1558,35.8424837,128.5415382
1564,35.8556294,128.5315426
1569,35.8521297,128.5553567
1572,35.8521113,128.5375572
1585,35.8558448,128.5590358
1591,35.8162814,128.5131472
1592,35.8616095,128.5706229
1595,35.8462608,128.5503907
1596,35.8499692,128.5079955
1603,35.8556162,128.5619231
1604,35.8172011,128.5390605
1605,35.8567804,128.5383464
1608,35.8592444,128.4996883
1609,35.8261692,128.5301363
1610,35.853665,128.4939998
1611,35.8070291,128.5237869
1613,35.852512,128.5373206
1619,35.8350542,128.4928352
1623,35.8103591,128.5155792
1628,35.8500768,128.5351112
1635,35.8421649,128.5559043
1636,35.8364492,128.548782
1645,35.812428,128.5231937
1657,35.8595292,128.5240211
1660,35.8517629,128.5419031
1665,35.8542169,128.5518169
1669,35.8170637,128.5397031
1675,35.8555496,128.500192
1676,35.8380901,128.5448374
1682,35.8380895,128.5487917
1683,35.8500832,128.5350923
1687,35.8319748,128.5312745
1693,35.8153934,128.5434699
1703,35.8353496,128.5559152
1707,35.8086834,128.512763
1712,35.8098666,128.5321678
1717,35.8078099,128.5191267
1724,35.857589,128.5296278
1726,35.8109588,128.5258653
1728,35.843515,128.5322466
1730,35.8534251,128.4779874
1731,35.8365475,128.5190094
1738,35.846459,128.5515838
1740,35.8380004,128.5486761
1744,35.8071014,128.5204322
1748,35.831968,128.5313122
1750,35.8337706,128.5311993
1751,35.8144979,128.5401878
1752,35.8085705,128.5272104
1758,35.8171267,128.5386473
1759,35.8555679,128.5280125
1766,35.807763,128.5564292
1767,35.8526381,128.5371622
1768,35.843029,128.5529412
1775,35.8536369,128.4955876
1782,35.8514162,128.4993063
1785,35.856882,128.5671901
1786,35.8497464,128.5447123
1789,35.8337321,128.5533147
1792,35.8086635,128.5515159
1793,35.8391368,128.4918405
1794,35.8387588,128.5568962
1795,35.8579998,128.494151
1798,35.8076047,128.5396301
1812,35.8150637,128.5205233
1816,35.8081968,128.5130871
1817,35.8526812,128.5103436
1820,35.8447882,128.5436769
1821,35.8064771,128.5416599
1826,35.8029533,128.5304149
1829,35.8378765,128.496703
1833,35.8533587,128.5541661
1844,35.8440672,128.5070761
1851,35.8616442,128.5205159
1852,35.8586983,128.5211728
1856,35.8370676,128.5306838
1859,35.8411803,128.536858
1861,35.8419707,128.5362899
1862,35.8552107,128.5075403
1867,35.8579996,128.5299093
1869,35.8391715,128.5507678
1872,35.8393755,128.5528161
1875,35.8372254,128.530826
1879,35.8129044,128.524558
1885,35.8522289,128.4857565
1893,35.8119101,128.525331
1897,35.837262,128.5561391
1899,35.8421512,128.541512
1901,35.8404765,128.5380463
1903,35.8435226,128.5436868
1906,35.8571797,128.5153202
1911,35.8399736,128.5310871
1912,35.8516811,128.5411045
1913,35.8555023,128.4941222
1915,35.8554149,128.506501
1921,35.8495565,128.5468013
1923,35.8420841,128.538303
1924,35.8434374,128.5146038
1926,35.8331754,128.5540124
1929,35.8166415,128.5396328
1939,35.8413117,128.5468236
1940,35.8374083,128.5445888
1944,35.8098085,128.5314973
1947,35.8189951,128.5335972
1949,35.8555085,128.4956278
1950,35.8415844,128.5528697
1955,35.8418961,128.5366299
1957,35.8587013,128.5223305
1960,35.8423352,128.5479833
1969,35.8501864,128.5143351
1975,35.8388002,128.5516182
1977,35.8286175,128.5529295
1983,35.8532038,128.5318739
1989,35.8406846,128.5528419
1991,35.8569392,128.5045481
1994,35.8496612,128.5347907
2000,35.8555355,128.5118574
2003,35.8206847,128.5254125
2007,35.8537331,128.57315
2010,35.8435948,128.5389386
2017,35.8124526,128.5248601
2018,35.8551914,128.4918775
2020,35.8517776,128.5412589
2021,35.850774,128.5475971
2027,35.8540857,128.5579127
2032,35.8081347,128.5487844
2033,35.8189731,128.5397261
2035,35.8548791,128.5531666
2038,35.8214411,128.5473903
2051,35.8125481,128.5278687
2060,35.8238681,128.5346119
2066,35.8075546,128.5203267
2072,35.8372261,128.5542585
2078,35.8590346,128.5099046
2079,35.8069316,128.5432848
2082,35.8502441,128.5202432
2086,35.8248057,128.5073341
2090,35.8093169,128.5274874
2092,35.8383622,128.5569635
2094,35.8147086,128.5270228
2095,35.8589742,128.5033068
2096,35.8435442,128.5341293
2107,35.8427933,128.5001067
2108,35.8553708,128.5097615
2110,35.8339004,128.540578
2113,35.8245135,128.5272272
2115,35.8582554,128.4646822
0,35.8370321,128.526253
1,35.8471815,128.5372932
2,35.8084199,128.5431743
3,35.8562181,128.5230866
4,35.8565047,128.5305922
5,35.8526472,128.5439277
6,35.8171767,128.5324868
7,35.8513768,128.5371502
