지역명,내국인지출,외국인지출,합계
강원도,1087017848,12978752,1099996600
경기도,7864044690,156256837,8020301527
경상남도,1339948616,19190556,1359139172
경상북도,1031003700,7347690,1038351390
광주광역시,808400637,3919287,812319924
대구광역시,1377417514,13089092,1390506606
대전광역시,963188543,8587316,971775859
부산광역시,2503393205,79233772,2582626977
서울특별시,9295683021,609618157,9905301178
세종특별자치시,88046497,549220,88595717
울산광역시,488142066,5941886,494083952
인천광역시,1495961750,139781993,1635743743
전라남도,798699949,3669048,802368997
전라북도,721675988,8347885,730023873
제주특별자치도,811584150,27228787,838812937
충청남도,975655010,8693283,984348293
충청북도,884887129,4928123,889815252
