지역명,내국인지출,외국인지출,합계
강원도,1119167991,11090162,1130258153
경기도,7959813795,181121666,8140935461
경상남도,1316438075,18463739,1334901814
경상북도,1117055123,9744236,1126799359
광주광역시,824908965,5234707,830143672
대구광역시,1438978084,18505696,1457483780
대전광역시,977050809,9385528,986436337
부산광역시,2422827075,54843143,2477670218
서울특별시,9145037390,388772957,9533810347
세종특별자치시,90712475,724892,91437367
울산광역시,463125394,5494336,468619730
인천광역시,1375793104,60649710,1436442814
전라남도,823379410,4838796,828218206
전라북도,740541527,9685159,750226686
제주특별자치도,1035512158,22262254,1057774412
충청남도,1002044414,11782529,1013826943
충청북도,904946623,6865134,911811757
